Platform,Campaign_Name,Date,Region,Device_Type,Audience_Segment,Campaign_Objective,Impressions,Reach,Frequency,Clicks,CTR(%),CPC($),CPM($),Spend($),Engagements,Engagement_Rate(%),Cost_per_Engagement($),Conversions,Conversion_Rate(%),Avg_Order_Value($),Revenue($),Profit($),Profit_Margin,ROAS,CAC($),ROI(%),Revenue_per_Dollar
Meta,Summer_Sale,2025-06-12,Asia-Pacific,Tablet,Returning Customers,Awareness,108246,76919,1.41,3222,2.98,0.31,9.23,998.82,6873,6.35,0.15,372,11.55,22.04,8198.88,3771.48,0.46,8.21,2.69,720.86,8.21
Meta,Summer_Sale,2025-06-13,North America,Tablet,Returning Customers,Conversions,218388,164303,1.33,2292,1.05,0.86,9.03,1971.12,1145,0.52,1.72,126,5.5,16.3,2053.8,800.98,0.39,1.04,15.64,4.19,1.04
Meta,Summer_Sale,2025-06-14,India,Mobile,Returning Customers,Retention,242646,173428,1.4,4892,2.02,0.94,18.95,4598.48,11988,4.94,0.38,292,5.97,35.98,10506.16,4097.4,0.39,2.28,15.75,128.47,2.28
Meta,Summer_Sale,2025-06-15,Asia-Pacific,Mobile,High-Value Customers,Traffic,282204,188029,1.5,4352,1.54,0.86,13.26,3742.72,1977,0.7,1.89,441,10.13,21.06,9287.46,3436.36,0.37,2.48,8.49,148.15,2.48
Meta,Summer_Sale,2025-06-16,Europe,Desktop,Returning Customers,Conversions,274950,241815,1.14,3686,1.34,0.82,10.99,3022.52,9245,3.36,0.33,1113,30.2,25.6,28492.8,13391.62,0.47,9.43,2.72,842.68,9.43
Meta,Summer_Sale,2025-06-17,North America,Desktop,New Customers,Conversions,239018,151611,1.58,3117,1.3,1.44,18.78,4488.48,10873,4.55,0.41,812,26.05,19.61,15923.32,6687.79,0.42,3.55,5.53,254.76,3.55
Meta,Summer_Sale,2025-06-18,Europe,Mobile,High-Value Customers,Retention,186427,116005,1.61,7360,3.95,1.04,41.06,7654.4,1544,0.83,4.96,160,2.17,15.96,2553.6,842.69,0.33,0.33,47.84,-66.64,0.33
Meta,Summer_Sale,2025-06-19,Asia-Pacific,Tablet,New Customers,Conversions,169256,149052,1.14,3920,2.32,0.64,14.82,2508.8,11461,6.77,0.22,275,7.02,24.62,6770.5,2369.67,0.35,2.7,9.12,169.87,2.7
Meta,Summer_Sale,2025-06-20,India,Desktop,Returning Customers,Retention,198996,148817,1.34,2651,1.33,0.37,4.93,980.87,11475,5.77,0.09,165,6.22,18.7,3085.5,1573.61,0.51,3.15,5.94,214.57,3.15
Meta,Summer_Sale,2025-06-21,Asia-Pacific,Mobile,New Customers,Traffic,181666,156441,1.16,1906,1.05,0.27,2.83,514.62,7062,3.89,0.07,269,14.11,37.12,9985.28,3395.0,0.34,19.4,1.91,1840.32,19.4
Meta,Summer_Sale,2025-06-22,Asia-Pacific,Mobile,Returning Customers,Awareness,147744,126120,1.17,5492,3.72,1.28,47.58,7029.76,6024,4.08,1.17,921,16.77,15.71,14468.91,6366.32,0.44,2.06,7.63,105.82,2.06
Meta,Summer_Sale,2025-06-23,India,Desktop,Returning Customers,Conversions,295320,274481,1.08,3389,1.15,0.43,4.93,1457.27,9770,3.31,0.15,742,21.89,43.19,32046.98,9293.62,0.29,21.99,1.96,2099.11,21.99
Meta,Summer_Sale,2025-06-24,India,Mobile,New Customers,Conversions,101819,75901,1.34,3272,3.21,0.95,30.53,3108.4,11192,10.99,0.28,1184,36.19,18.26,21619.84,7350.75,0.34,6.96,2.63,595.53,6.96
Meta,Summer_Sale,2025-06-25,North America,Mobile,New Customers,Conversions,205823,157358,1.31,6509,3.16,0.74,23.4,4816.66,7700,3.74,0.63,993,15.26,22.49,22332.57,11389.61,0.51,4.64,4.85,363.65,4.64
Meta,Summer_Sale,2025-06-26,Europe,Tablet,High-Value Customers,Awareness,201574,196204,1.03,6589,3.27,0.56,18.31,3689.84,2678,1.33,1.38,789,11.97,24.89,19638.21,9426.34,0.48,5.32,4.68,432.22,5.32
Meta,Summer_Sale,2025-06-27,North America,Mobile,High-Value Customers,Awareness,190001,185859,1.02,6440,3.39,0.35,11.86,2254.0,3266,1.72,0.69,653,10.14,20.28,13242.84,4237.71,0.32,5.88,3.45,487.53,5.88
Meta,Summer_Sale,2025-06-28,India,Mobile,High-Value Customers,Conversions,114092,78424,1.45,7604,6.66,0.83,55.32,6311.32,4775,4.19,1.32,424,5.58,47.46,20123.04,8451.68,0.42,3.19,14.89,218.84,3.19
Meta,Summer_Sale,2025-06-29,India,Mobile,High-Value Customers,Retention,112348,98637,1.14,5718,5.09,1.12,57.0,6404.16,1834,1.63,3.49,796,13.92,38.64,30757.44,13840.85,0.45,4.8,8.05,380.27,4.8
Meta,Summer_Sale,2025-06-30,Europe,Tablet,New Customers,Traffic,209646,137867,1.52,6299,3.0,0.63,18.93,3968.37,9964,4.75,0.4,567,9.0,27.76,15739.92,8342.16,0.53,3.97,7.0,296.63,3.97
Meta,Summer_Sale,2025-07-01,North America,Tablet,High-Value Customers,Conversions,193334,187882,1.03,4866,2.52,0.74,18.62,3600.84,3458,1.79,1.04,168,3.45,17.06,2866.08,1347.06,0.47,0.8,21.43,-20.41,0.8
Meta,Summer_Sale,2025-07-02,Asia-Pacific,Mobile,New Customers,Conversions,157896,133937,1.18,6639,4.2,1.3,54.66,8630.7,7193,4.56,1.2,976,14.7,17.36,16943.36,7793.95,0.46,1.96,8.84,96.32,1.96
Meta,Summer_Sale,2025-07-03,India,Tablet,Returning Customers,Retention,164383,134510,1.22,2828,1.72,1.15,19.78,3252.2,2358,1.43,1.38,1187,41.97,18.39,21828.93,10259.6,0.47,6.71,2.74,571.21,6.71
Meta,Summer_Sale,2025-07-04,North America,Tablet,New Customers,Conversions,167117,130516,1.28,2439,1.46,0.74,10.8,1804.86,9706,5.81,0.19,984,40.34,15.74,15488.16,5420.86,0.35,8.58,1.83,758.14,8.58
Meta,Summer_Sale,2025-07-05,North America,Tablet,New Customers,Retention,213987,151502,1.41,2883,1.35,1.41,19.0,4065.03,5658,2.64,0.72,269,9.33,33.57,9030.33,3521.83,0.39,2.22,15.11,122.15,2.22
Meta,Summer_Sale,2025-07-06,North America,Desktop,High-Value Customers,Traffic,275319,220011,1.25,8747,3.18,1.14,36.22,9971.58,3172,1.15,3.14,1176,13.44,34.7,40807.2,16322.88,0.4,4.09,8.48,309.24,4.09
Meta,Summer_Sale,2025-07-07,Asia-Pacific,Desktop,Returning Customers,Retention,286163,259969,1.1,8749,3.06,0.26,7.95,2274.74,6416,2.24,0.35,335,3.83,48.08,16106.8,8214.47,0.51,7.08,6.79,608.07,7.08
Meta,Summer_Sale,2025-07-08,Europe,Mobile,New Customers,Traffic,84952,58564,1.45,4477,5.27,1.46,76.94,6536.42,1413,1.66,4.63,723,16.15,39.25,28377.75,15040.21,0.53,4.34,9.04,334.15,4.34
Meta,Summer_Sale,2025-07-09,Europe,Mobile,New Customers,Traffic,80189,48981,1.64,1554,1.94,0.57,11.05,885.78,4904,6.12,0.18,702,45.17,47.45,33309.9,11325.37,0.34,37.61,1.26,3660.52,37.61
Meta,Summer_Sale,2025-07-10,Europe,Mobile,High-Value Customers,Retention,253243,167924,1.51,3390,1.34,1.2,16.06,4068.0,2653,1.05,1.53,252,7.43,17.62,4440.24,1687.29,0.38,1.09,16.14,9.15,1.09
Meta,Summer_Sale,2025-07-11,Europe,Tablet,High-Value Customers,Retention,118223,98002,1.21,1877,1.59,1.26,20.0,2365.02,11296,9.55,0.21,394,20.99,44.92,17698.48,7079.39,0.4,7.48,6.0,648.34,7.48
Meta,Summer_Sale,2025-07-12,North America,Mobile,High-Value Customers,Retention,192470,152509,1.26,7339,3.81,1.05,40.04,7705.95,2908,1.51,2.65,1105,15.06,35.29,38995.45,20667.59,0.53,5.06,6.97,406.04,5.06
Meta,Summer_Sale,2025-07-13,India,Desktop,New Customers,Retention,170605,162998,1.05,1856,1.09,0.87,9.46,1614.72,9131,5.35,0.18,526,28.34,19.43,10220.18,2861.65,0.28,6.33,3.07,532.94,6.33
Meta,Summer_Sale,2025-07-14,North America,Mobile,Returning Customers,Awareness,146796,112855,1.3,5438,3.7,1.12,41.49,6090.56,10096,6.88,0.6,560,10.3,32.47,18183.2,4727.63,0.26,2.99,10.88,198.55,2.99
Meta,Summer_Sale,2025-07-15,India,Tablet,New Customers,Awareness,112420,110610,1.02,3653,3.25,1.36,44.19,4968.08,7973,7.09,0.62,261,7.14,17.39,4538.79,1906.29,0.42,0.91,19.03,-8.64,0.91
Meta,Summer_Sale,2025-07-16,India,Desktop,Returning Customers,Awareness,275870,220542,1.25,3995,1.45,0.59,8.54,2357.05,5570,2.02,0.42,761,19.05,42.9,32646.9,14364.64,0.44,13.85,3.1,1285.07,13.85
Meta,Summer_Sale,2025-07-17,Europe,Tablet,Returning Customers,Traffic,179972,108205,1.66,6677,3.71,1.25,46.38,8346.25,4427,2.46,1.89,541,8.1,16.19,8758.79,3591.1,0.41,1.05,15.43,4.94,1.05
Meta,Summer_Sale,2025-07-18,Europe,Mobile,Returning Customers,Retention,256995,190227,1.35,4011,1.56,0.38,5.93,1524.18,9431,3.67,0.16,958,23.88,23.11,22139.38,5756.24,0.26,14.53,1.59,1352.54,14.53
Meta,Summer_Sale,2025-07-19,Europe,Mobile,Returning Customers,Awareness,80834,48667,1.66,4896,6.06,0.58,35.13,2839.68,2676,3.31,1.06,1066,21.77,23.97,25552.02,12264.97,0.48,9.0,2.66,799.82,9.0
Meta,Summer_Sale,2025-07-20,Asia-Pacific,Desktop,High-Value Customers,Conversions,83359,61425,1.36,4340,5.21,1.19,61.96,5164.6,11524,13.82,0.45,535,12.33,30.5,16317.5,7342.88,0.45,3.16,9.65,215.95,3.16
Meta,Summer_Sale,2025-07-21,Europe,Desktop,Returning Customers,Retention,201124,175930,1.14,3623,1.8,0.53,9.55,1920.19,8624,4.29,0.22,705,19.46,48.46,34164.3,11957.51,0.35,17.79,2.72,1679.21,17.79
Meta,Summer_Sale,2025-07-22,North America,Desktop,New Customers,Traffic,112164,86477,1.3,6374,5.68,1.23,69.9,7840.02,8822,7.87,0.89,1078,16.91,42.84,46181.52,12007.2,0.26,5.89,7.27,489.05,5.89
Meta,Summer_Sale,2025-07-23,India,Mobile,New Customers,Awareness,184477,113491,1.63,6966,3.78,0.72,27.19,5015.52,9047,4.9,0.55,253,3.63,45.4,11486.2,5628.24,0.49,2.29,19.82,129.01,2.29
Meta,Summer_Sale,2025-07-24,Europe,Tablet,High-Value Customers,Conversions,241332,213074,1.13,5296,2.19,1.05,23.04,5560.8,6195,2.57,0.9,678,12.8,33.36,22618.08,10856.68,0.48,4.07,8.2,306.74,4.07
Meta,Summer_Sale,2025-07-25,Asia-Pacific,Mobile,New Customers,Awareness,272316,186649,1.46,6307,2.32,1.34,31.04,8451.38,6689,2.46,1.26,560,8.88,15.01,8405.6,4454.97,0.53,0.99,15.09,-0.54,0.99
Meta,Summer_Sale,2025-07-26,Asia-Pacific,Tablet,High-Value Customers,Conversions,96667,74148,1.3,4107,4.25,0.45,19.12,1848.15,3691,3.82,0.5,543,13.22,34.42,18690.06,5233.22,0.28,10.11,3.4,911.28,10.11
Meta,Summer_Sale,2025-07-27,North America,Mobile,Returning Customers,Traffic,99488,87728,1.13,3192,3.21,0.91,29.2,2904.72,7668,7.71,0.38,647,20.27,31.29,20244.63,8705.19,0.43,6.97,4.49,596.96,6.97
Meta,Summer_Sale,2025-07-28,Europe,Mobile,High-Value Customers,Retention,235551,198115,1.19,1780,0.76,0.56,4.23,996.8,6078,2.58,0.16,950,53.37,36.16,34352.0,12366.72,0.36,34.46,1.05,3346.23,34.46
Meta,Summer_Sale,2025-07-29,India,Tablet,New Customers,Retention,225827,159236,1.42,7116,3.15,0.34,10.71,2419.44,10550,4.67,0.23,383,5.38,26.17,10023.11,4811.09,0.48,4.14,6.32,314.27,4.14
Meta,Summer_Sale,2025-07-30,Europe,Tablet,Returning Customers,Conversions,212603,166666,1.28,6687,3.15,1.39,43.72,9294.93,11418,5.37,0.81,1054,15.76,21.58,22745.32,7505.96,0.33,2.45,8.82,144.71,2.45
Meta,Summer_Sale,2025-07-31,Asia-Pacific,Tablet,High-Value Customers,Retention,279619,276845,1.01,7437,2.66,0.38,10.11,2826.06,5979,2.14,0.47,1046,14.06,36.23,37896.58,10232.08,0.27,13.41,2.7,1240.97,13.41
Meta,Summer_Sale,2025-08-01,Asia-Pacific,Tablet,Returning Customers,Retention,179226,125791,1.42,7411,4.14,0.36,14.89,2667.96,6812,3.8,0.39,1058,14.28,36.15,38246.7,19888.28,0.52,14.34,2.52,1333.56,14.34
Meta,Summer_Sale,2025-08-02,India,Desktop,New Customers,Retention,227090,206330,1.1,6823,3.0,0.36,10.82,2456.28,7815,3.44,0.31,238,3.49,19.74,4698.12,1691.32,0.36,1.91,10.32,91.27,1.91
Meta,Summer_Sale,2025-08-03,India,Desktop,High-Value Customers,Traffic,287958,287103,1.0,4293,1.49,1.38,20.57,5924.34,11530,4.0,0.51,1186,27.63,28.74,34085.64,9884.84,0.29,5.75,5.0,475.35,5.75
Meta,Summer_Sale,2025-08-04,India,Desktop,New Customers,Conversions,107983,79920,1.35,2535,2.35,0.48,11.27,1216.8,2067,1.91,0.59,1104,43.55,21.14,23338.56,7001.57,0.3,19.18,1.1,1818.03,19.18
Meta,Summer_Sale,2025-08-05,Asia-Pacific,Desktop,High-Value Customers,Traffic,129481,82073,1.58,5187,4.01,1.42,56.89,7365.54,4790,3.7,1.54,656,12.65,21.08,13828.48,4563.4,0.33,1.88,11.23,87.75,1.88
Meta,Summer_Sale,2025-08-06,Asia-Pacific,Tablet,Returning Customers,Awareness,167541,165737,1.01,2141,1.28,0.97,12.4,2076.77,2019,1.21,1.03,856,39.98,37.44,32048.64,16665.29,0.52,15.43,2.43,1443.2,15.43
Meta,Summer_Sale,2025-08-07,Asia-Pacific,Mobile,Returning Customers,Conversions,130084,84073,1.55,5643,4.34,1.13,49.02,6376.59,3038,2.34,2.1,202,3.58,38.2,7716.4,2855.07,0.37,1.21,31.57,21.01,1.21
Meta,Summer_Sale,2025-08-08,Europe,Tablet,Returning Customers,Awareness,146667,138889,1.06,7787,5.31,0.25,13.27,1946.75,7355,5.01,0.26,1058,13.59,32.66,34554.28,14858.34,0.43,17.75,1.84,1674.97,17.75
Meta,Summer_Sale,2025-08-09,India,Tablet,Returning Customers,Retention,187873,116895,1.61,3741,1.99,1.16,23.1,4339.56,8195,4.36,0.53,1137,30.39,36.85,41898.45,19692.27,0.47,9.65,3.82,865.5,9.65
Meta,Summer_Sale,2025-08-10,North America,Tablet,New Customers,Traffic,135368,116430,1.16,4243,3.13,0.52,16.3,2206.36,6296,4.65,0.35,209,4.93,38.21,7985.89,2236.05,0.28,3.62,10.56,261.95,3.62
Meta,Summer_Sale,2025-08-11,Asia-Pacific,Mobile,New Customers,Conversions,212260,136077,1.56,6535,3.08,0.85,26.17,5554.75,2855,1.35,1.95,903,13.82,22.32,20154.96,6449.59,0.32,3.63,6.15,262.84,3.63
Meta,Summer_Sale,2025-08-12,Asia-Pacific,Mobile,High-Value Customers,Retention,244036,178802,1.36,4884,2.0,0.28,5.6,1367.52,6033,2.47,0.23,106,2.17,36.87,3908.22,2071.36,0.53,2.86,12.9,185.79,2.86
Meta,Summer_Sale,2025-08-13,North America,Mobile,High-Value Customers,Traffic,144222,116114,1.24,1981,1.37,1.12,15.38,2218.72,4221,2.93,0.53,421,21.25,22.83,9611.43,3940.69,0.41,4.33,5.27,333.2,4.33
Meta,Summer_Sale,2025-08-14,Europe,Tablet,High-Value Customers,Conversions,90303,55007,1.64,5589,6.19,1.45,89.74,8104.05,3665,4.06,2.21,1046,18.72,16.31,17060.26,5459.28,0.32,2.11,7.75,110.52,2.11
Meta,Summer_Sale,2025-08-15,India,Tablet,New Customers,Conversions,236563,168102,1.41,3359,1.42,0.56,7.95,1881.04,11450,4.84,0.16,378,11.25,32.96,12458.88,6727.8,0.54,6.62,4.98,562.34,6.62
Meta,Summer_Sale,2025-08-16,North America,Tablet,High-Value Customers,Conversions,120684,75596,1.6,7691,6.37,1.32,84.12,10152.12,6660,5.52,1.52,389,5.06,40.05,15579.45,5297.01,0.34,1.53,26.1,53.46,1.53
Meta,Summer_Sale,2025-08-17,Asia-Pacific,Desktop,High-Value Customers,Traffic,208089,197233,1.06,8370,4.02,0.78,31.37,6528.6,9774,4.7,0.67,619,7.4,29.51,18266.69,9681.35,0.53,2.8,10.55,179.79,2.8
Meta,Summer_Sale,2025-08-18,North America,Tablet,High-Value Customers,Retention,296127,257325,1.15,2208,0.75,0.52,3.88,1148.16,3256,1.1,0.35,403,18.25,15.16,6109.48,2321.6,0.38,5.32,2.85,432.11,5.32
Meta,Summer_Sale,2025-08-19,Asia-Pacific,Desktop,New Customers,Retention,166292,143339,1.16,8796,5.29,1.46,77.23,12842.16,6045,3.64,2.12,1096,12.46,27.53,30172.88,9051.86,0.3,2.35,11.72,134.95,2.35
Meta,Summer_Sale,2025-08-20,Asia-Pacific,Mobile,Returning Customers,Conversions,251648,152050,1.66,7033,2.79,1.42,39.69,9986.86,6348,2.52,1.57,1025,14.57,22.17,22724.25,7499.0,0.33,2.28,9.74,127.54,2.28
Meta,Summer_Sale,2025-08-21,Europe,Mobile,High-Value Customers,Awareness,127902,95734,1.34,5941,4.64,0.3,13.93,1782.3,1418,1.11,1.26,1197,20.15,22.09,26441.73,6610.43,0.25,14.84,1.49,1383.57,14.84
Meta,Summer_Sale,2025-08-22,Europe,Tablet,High-Value Customers,Awareness,238941,191334,1.25,2067,0.87,0.78,6.75,1612.26,9189,3.85,0.18,1000,48.38,31.45,31450.0,11951.0,0.38,19.51,1.61,1850.68,19.51
Meta,Summer_Sale,2025-08-23,Asia-Pacific,Tablet,High-Value Customers,Conversions,125235,79247,1.58,3961,3.16,0.8,25.3,3168.8,11712,9.35,0.27,522,13.18,26.07,13608.54,5851.67,0.43,4.29,6.07,329.45,4.29
Meta,Summer_Sale,2025-08-24,North America,Desktop,Returning Customers,Awareness,290120,185681,1.56,2194,0.76,0.73,5.52,1601.62,10372,3.58,0.15,1122,51.14,41.0,46002.0,12880.56,0.28,28.72,1.43,2772.22,28.72
Meta,Summer_Sale,2025-08-25,North America,Desktop,Returning Customers,Awareness,262004,173936,1.51,7493,2.86,1.23,35.18,9216.39,7412,2.83,1.24,480,6.41,37.53,18014.4,9907.92,0.55,1.95,19.2,95.46,1.95
Meta,Summer_Sale,2025-08-26,North America,Desktop,New Customers,Retention,99276,62365,1.59,4659,4.69,0.37,17.36,1723.83,9204,9.27,0.19,227,4.87,17.82,4045.14,1375.35,0.34,2.35,7.59,134.66,2.35
Meta,Summer_Sale,2025-08-27,Europe,Mobile,Returning Customers,Conversions,218446,140037,1.56,7641,3.5,0.34,11.89,2597.94,4968,2.27,0.52,501,6.56,43.16,21623.16,9081.73,0.42,8.32,5.19,732.32,8.32
Meta,Summer_Sale,2025-08-28,Asia-Pacific,Tablet,New Customers,Awareness,254364,163650,1.55,8244,3.24,0.85,27.55,7007.4,10985,4.32,0.64,900,10.92,29.23,26307.0,12364.29,0.47,3.75,7.79,275.42,3.75
Meta,Summer_Sale,2025-08-29,North America,Mobile,New Customers,Retention,174213,132810,1.31,8917,5.12,0.77,39.41,6866.09,11469,6.58,0.6,909,10.19,23.64,21488.76,9025.28,0.42,3.13,7.55,212.97,3.13
Meta,Summer_Sale,2025-08-30,Europe,Tablet,New Customers,Awareness,243962,230668,1.06,2878,1.18,0.4,4.72,1151.2,6953,2.85,0.17,923,32.07,46.94,43325.62,19496.53,0.45,37.64,1.25,3663.52,37.64
Meta,Summer_Sale,2025-08-31,India,Tablet,New Customers,Awareness,210121,157469,1.33,4085,1.94,1.25,24.3,5106.25,8834,4.2,0.58,778,19.05,35.9,27930.2,13127.19,0.47,5.47,6.56,446.98,5.47
Meta,Summer_Sale,2025-09-01,India,Mobile,High-Value Customers,Conversions,253179,234302,1.08,8611,3.4,0.51,17.35,4391.61,5360,2.12,0.82,952,11.06,43.87,41764.24,14199.84,0.34,9.51,4.61,851.0,9.51
Meta,Summer_Sale,2025-09-02,Europe,Tablet,Returning Customers,Traffic,92970,72909,1.28,4997,5.37,1.33,71.49,6646.01,8638,9.29,0.77,703,14.07,32.78,23044.34,10369.95,0.45,3.47,9.45,246.74,3.47
Meta,Summer_Sale,2025-09-03,India,Desktop,High-Value Customers,Traffic,216566,164061,1.32,3489,1.61,0.96,15.47,3349.44,1453,0.67,2.31,698,20.01,44.11,30788.78,11699.74,0.38,9.19,4.8,819.22,9.19
Meta,Summer_Sale,2025-09-04,North America,Tablet,Returning Customers,Retention,101914,72735,1.4,7358,7.22,0.96,69.31,7063.68,9223,9.05,0.77,419,5.69,37.74,15813.06,6167.09,0.39,2.24,16.86,123.86,2.24
Meta,Summer_Sale,2025-09-05,Europe,Tablet,New Customers,Retention,136018,127379,1.07,8947,6.58,0.65,42.76,5815.55,6428,4.73,0.9,1016,11.36,27.28,27716.48,13581.08,0.49,4.77,5.72,376.59,4.77
Meta,Summer_Sale,2025-09-06,Asia-Pacific,Mobile,High-Value Customers,Traffic,97007,87271,1.11,3796,3.91,0.32,12.52,1214.72,8378,8.64,0.14,485,12.78,31.48,15267.8,5954.44,0.39,12.57,2.5,1156.9,12.57
Meta,Summer_Sale,2025-09-07,India,Tablet,High-Value Customers,Awareness,251314,165728,1.52,6781,2.7,1.29,34.81,8747.49,5958,2.37,1.47,600,8.85,35.5,21300.0,7881.0,0.37,2.43,14.58,143.5,2.43
Meta,Summer_Sale,2025-09-08,Europe,Tablet,Returning Customers,Conversions,127204,87044,1.46,3763,2.96,1.38,40.82,5192.94,8441,6.64,0.62,435,11.56,16.3,7090.5,3261.63,0.46,1.37,11.94,36.54,1.37
Meta,Summer_Sale,2025-09-09,Asia-Pacific,Desktop,Returning Customers,Retention,209304,128174,1.63,1877,0.9,0.53,4.75,994.81,3804,1.82,0.26,753,40.12,21.86,16460.58,7242.66,0.44,16.55,1.32,1554.65,16.55
Meta,Summer_Sale,2025-09-10,Europe,Tablet,Returning Customers,Awareness,161663,116928,1.38,5088,3.15,0.35,11.02,1780.8,5509,3.41,0.32,609,11.97,32.88,20023.92,10412.44,0.52,11.24,2.92,1024.43,11.24
Meta,Summer_Sale,2025-09-11,India,Desktop,High-Value Customers,Traffic,190399,182068,1.05,8277,4.35,1.32,57.38,10925.64,6928,3.64,1.58,407,4.92,20.13,8192.91,2621.73,0.32,0.75,26.84,-25.01,0.75
Meta,Summer_Sale,2025-09-12,India,Mobile,High-Value Customers,Retention,200443,127689,1.57,5525,2.76,1.37,37.76,7569.25,11365,5.67,0.67,493,8.92,30.69,15130.17,6808.58,0.45,2.0,15.35,99.89,2.0
Meta,Summer_Sale,2025-09-13,Asia-Pacific,Desktop,New Customers,Awareness,92104,71767,1.28,3460,3.76,1.19,44.7,4117.4,10537,11.44,0.39,663,19.16,19.62,13008.06,4422.74,0.34,3.16,6.21,215.93,3.16
Meta,Summer_Sale,2025-09-14,Europe,Mobile,Returning Customers,Traffic,288415,215499,1.34,7044,2.44,0.94,22.96,6621.36,9195,3.19,0.72,1170,16.61,22.07,25821.9,12910.95,0.5,3.9,5.66,289.98,3.9
Meta,Summer_Sale,2025-09-15,North America,Desktop,High-Value Customers,Conversions,119879,102886,1.17,4005,3.34,0.34,11.36,1361.7,7663,6.39,0.18,164,4.09,15.38,2522.32,1059.37,0.42,1.85,8.3,85.23,1.85
Meta,Summer_Sale,2025-09-16,North America,Tablet,Returning Customers,Traffic,258687,218368,1.18,3383,1.31,1.0,13.08,3383.0,10316,3.99,0.33,1128,33.34,18.31,20653.68,9087.62,0.44,6.11,3.0,510.51,6.11
Meta,Summer_Sale,2025-09-17,India,Mobile,New Customers,Conversions,287419,265615,1.08,5600,1.95,0.8,15.59,4480.0,9488,3.3,0.47,161,2.88,35.6,5731.6,2349.96,0.41,1.28,27.83,27.94,1.28
Meta,Summer_Sale,2025-09-18,Europe,Tablet,New Customers,Traffic,254768,166349,1.53,4358,1.71,0.75,12.83,3268.5,9992,3.92,0.33,976,22.4,21.56,21042.56,7364.9,0.35,6.44,3.35,543.8,6.44
Meta,Summer_Sale,2025-09-19,Europe,Tablet,High-Value Customers,Traffic,108162,94735,1.14,6357,5.88,0.92,54.07,5848.44,8996,8.32,0.65,630,9.91,16.69,10514.7,4521.32,0.43,1.8,9.28,79.79,1.8
Meta,Summer_Sale,2025-09-20,North America,Mobile,High-Value Customers,Conversions,209963,144577,1.45,8172,3.89,1.38,53.71,11277.36,6320,3.01,1.78,223,2.73,31.08,6930.84,2495.1,0.36,0.61,50.57,-38.54,0.61
